epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4931,2.82112,3.84212,2.55287,0.01877,0.07635,0.00781,0.00213,2.91117,7.88913,2.7068,0.0675238,0.000328042,0.000328042
2,21.5268,2.55447,3.14151,2.43551,0.02515,0.06897,0.0105,0.00309,2.89404,7.39261,2.79655,0.0345212,0.000658757,0.000658757
3,31.5914,2.49456,3.09559,2.40654,0.01694,0.07635,0.00419,0.00118,3.24998,49.9756,3.63938,0.00151593,0.000986831,0.000986831
4,41.181,2.48035,3.05805,2.3547,0.00102,0.15025,0.00058,0.00019,3.27418,inf,3.29988,0.00098812,0.00098812,0.00098812
5,51.0033,2.45616,3.00276,2.34819,0.03332,0.0468,0.01326,0.00462,2.91334,3.41241,2.51957,0.00098416,0.00098416,0.00098416
6,60.5127,2.42761,2.95819,2.28723,0.09118,0.10099,0.03421,0.00892,2.7399,3.10261,2.40854,0.0009802,0.0009802,0.0009802
7,70.5421,2.4132,2.95541,2.2826,0.04288,0.07143,0.01558,0.00355,2.6724,3.94841,2.31617,0.00097624,0.00097624,0.00097624
8,80.0468,2.3676,2.89759,2.2625,0.0879,0.10837,0.0368,0.0103,2.66613,3.07118,2.2894,0.00097228,0.00097228,0.00097228
9,90.5009,2.34605,2.87288,2.24233,0.09973,0.06897,0.03368,0.0086,2.70921,3.80459,2.37093,0.00096832,0.00096832,0.00096832
10,100.424,2.33549,2.83949,2.2315,0.14005,0.12069,0.06015,0.01751,2.55611,2.78655,2.17624,0.00096436,0.00096436,0.00096436
11,110.662,2.29643,2.83014,2.18292,0.13147,0.11558,0.05504,0.01628,2.63223,2.76561,2.25475,0.0009604,0.0009604,0.0009604
12,120.457,2.28732,2.79091,2.18685,0.08128,0.10837,0.04143,0.01208,2.5576,3.01538,2.17508,0.00095644,0.00095644,0.00095644
13,130.217,2.26083,2.76522,2.15615,0.12132,0.12562,0.05474,0.01561,2.54325,3.16438,2.21891,0.00095248,0.00095248,0.00095248
14,140.115,2.27726,2.75614,2.18649,0.11046,0.12069,0.0509,0.01416,2.61293,2.82221,2.28008,0.00094852,0.00094852,0.00094852
15,149.995,2.25236,2.74083,2.17535,0.119,0.13793,0.05263,0.01541,2.54739,2.85375,2.21764,0.00094456,0.00094456,0.00094456
16,159.655,2.21705,2.74716,2.11627,0.10424,0.11084,0.04422,0.01266,2.64108,2.86995,2.27898,0.0009406,0.0009406,0.0009406
17,169.453,2.21426,2.71963,2.14003,0.10155,0.13054,0.05179,0.01477,2.43368,2.96045,2.15275,0.00093664,0.00093664,0.00093664
18,179.61,2.20588,2.6939,2.14672,0.13203,0.15025,0.06902,0.01822,2.61072,2.80759,2.27924,0.00093268,0.00093268,0.00093268
19,189.603,2.20472,2.68776,2.11664,0.15066,0.15292,0.07858,0.02192,2.59856,2.63088,2.20035,0.00092872,0.00092872,0.00092872
20,199.217,2.1696,2.67226,2.09153,0.09127,0.10837,0.04737,0.01581,2.54373,2.77991,2.19545,0.00092476,0.00092476,0.00092476
21,209.088,2.1669,2.64863,2.06899,0.13484,0.12477,0.05588,0.01745,2.54573,2.69049,2.18228,0.0009208,0.0009208,0.0009208
22,218.829,2.15402,2.62966,2.06451,0.1335,0.16749,0.08296,0.02509,2.45485,2.62624,2.10789,0.00091684,0.00091684,0.00091684
23,229.266,2.13489,2.61001,2.05727,0.13903,0.11576,0.08476,0.02811,2.36387,2.60422,2.04019,0.00091288,0.00091288,0.00091288
24,239.021,2.12513,2.58694,2.04275,0.14841,0.13547,0.08344,0.02352,2.44918,2.61689,2.11766,0.00090892,0.00090892,0.00090892
25,248.773,2.10558,2.58815,2.01521,0.1455,0.19458,0.08351,0.02462,2.4464,2.5789,2.09753,0.00090496,0.00090496,0.00090496
26,258.363,2.09306,2.57482,2.02158,0.09219,0.1601,0.05491,0.01655,2.55161,2.71733,2.20584,0.000901,0.000901,0.000901
27,268.214,2.11032,2.54741,2.03735,0.09736,0.14778,0.0528,0.01472,2.62044,2.71256,2.2185,0.00089704,0.00089704,0.00089704
28,277.752,2.09068,2.52566,2.00288,0.17358,0.19951,0.10083,0.02794,2.40862,2.54762,2.06631,0.00089308,0.00089308,0.00089308
29,287.141,2.07191,2.53923,2.01129,0.12012,0.1798,0.06409,0.02124,2.4855,2.72861,2.11887,0.00088912,0.00088912,0.00088912
30,296.842,2.06354,2.51866,1.9993,0.13695,0.18719,0.07679,0.02223,2.5585,2.64458,2.21456,0.00088516,0.00088516,0.00088516
31,306.452,2.05364,2.50608,2.00535,0.17948,0.20197,0.11117,0.0319,2.34763,2.54123,2.08927,0.0008812,0.0008812,0.0008812
32,316.34,2.03564,2.49299,1.98765,0.14909,0.18966,0.09894,0.03125,2.39537,2.52299,2.08723,0.00087724,0.00087724,0.00087724
33,326.447,2.03781,2.43763,1.97317,0.16327,0.20443,0.10193,0.03081,2.42406,2.54483,2.08935,0.00087328,0.00087328,0.00087328
34,336.326,2.00996,2.46068,1.95532,0.18818,0.20443,0.12775,0.03699,2.32543,2.53083,2.04262,0.00086932,0.00086932,0.00086932
35,346.069,1.99194,2.45047,1.94708,0.19399,0.19458,0.11173,0.03355,2.38999,2.45926,2.04028,0.00086536,0.00086536,0.00086536
36,355.805,2.01219,2.42508,1.94847,0.17096,0.20443,0.09209,0.02849,2.44315,2.56499,2.08509,0.0008614,0.0008614,0.0008614
37,365.618,1.98033,2.43022,1.92911,0.19467,0.21429,0.12562,0.03954,2.39579,2.47996,2.05674,0.00085744,0.00085744,0.00085744
38,375.374,1.98682,2.42508,1.95715,0.1658,0.16749,0.08588,0.02587,2.43093,2.6275,2.14026,0.00085348,0.00085348,0.00085348
39,385.451,1.99031,2.42837,1.94225,0.16273,0.21921,0.10364,0.02753,2.4896,2.59992,2.15708,0.00084952,0.00084952,0.00084952
40,395.069,2.00499,2.44005,1.93547,0.19353,0.17734,0.1172,0.0367,2.38945,2.49774,2.07344,0.00084556,0.00084556,0.00084556
41,405.382,1.99573,2.39679,1.94586,0.1641,0.18227,0.10715,0.02974,2.49382,2.47231,2.16874,0.0008416,0.0008416,0.0008416
42,414.969,1.9938,2.35695,1.93594,0.15806,0.17734,0.09074,0.02868,2.4243,2.55714,2.12681,0.00083764,0.00083764,0.00083764
43,424.699,1.97083,2.37801,1.91702,0.2109,0.19458,0.12793,0.03854,2.40385,2.50525,2.07191,0.00083368,0.00083368,0.00083368
44,434.127,1.96276,2.34243,1.92899,0.19385,0.22906,0.12574,0.04234,2.29945,2.48582,2.01324,0.00082972,0.00082972,0.00082972
45,444.03,1.9508,2.36561,1.90384,0.20444,0.20936,0.12602,0.03731,2.39397,2.51722,2.07217,0.00082576,0.00082576,0.00082576
46,453.962,1.95479,2.34316,1.90797,0.2147,0.19458,0.11611,0.03571,2.43478,2.49528,2.08945,0.0008218,0.0008218,0.0008218
47,463.557,1.93574,2.32031,1.89665,0.18246,0.18227,0.11959,0.03768,2.42354,2.48601,2.09566,0.00081784,0.00081784,0.00081784
48,473.515,1.9434,2.29347,1.91236,0.17339,0.21429,0.11713,0.03648,2.3892,2.50767,2.06409,0.00081388,0.00081388,0.00081388
49,483.461,1.9293,2.2765,1.88289,0.17966,0.25862,0.10326,0.02947,2.56391,2.48542,2.19786,0.00080992,0.00080992,0.00080992
50,492.98,1.91518,2.28442,1.86718,0.20993,0.24138,0.12906,0.03864,2.39255,2.49726,2.08608,0.00080596,0.00080596,0.00080596
51,502.87,1.89766,2.25122,1.86649,0.2492,0.25369,0.1523,0.04472,2.39957,2.40041,2.09661,0.000802,0.000802,0.000802
52,512.442,1.89964,2.24185,1.85628,0.1997,0.19704,0.13061,0.03938,2.34457,2.47372,2.04158,0.00079804,0.00079804,0.00079804
53,521.862,1.90387,2.23521,1.86652,0.24164,0.20197,0.15611,0.05052,2.33962,2.44795,2.03692,0.00079408,0.00079408,0.00079408
54,531.294,1.8783,2.24011,1.84942,0.2138,0.25123,0.13025,0.03822,2.41586,2.42901,2.09934,0.00079012,0.00079012,0.00079012
55,541.166,1.87782,2.18937,1.85033,0.20028,0.22167,0.14309,0.04555,2.44189,2.45501,2.1013,0.00078616,0.00078616,0.00078616
56,550.564,1.87793,2.18285,1.83763,0.20111,0.24243,0.13424,0.03873,2.45282,2.50645,2.11379,0.0007822,0.0007822,0.0007822
57,560.413,1.8608,2.17558,1.81138,0.21133,0.24138,0.1557,0.04594,2.42274,2.43708,2.08712,0.00077824,0.00077824,0.00077824
58,569.984,1.87176,2.16555,1.84263,0.22767,0.25616,0.1464,0.04867,2.42484,2.43802,2.06541,0.00077428,0.00077428,0.00077428
59,579.527,1.84753,2.16816,1.81703,0.22355,0.22414,0.14783,0.04516,2.35527,2.415,2.03804,0.00077032,0.00077032,0.00077032
60,588.894,1.84546,2.12555,1.81099,0.23439,0.27833,0.14588,0.04148,2.47725,2.43407,2.15259,0.00076636,0.00076636,0.00076636
61,598.824,1.83014,2.13443,1.80641,0.23284,0.23892,0.14812,0.04077,2.44573,2.41605,2.11831,0.0007624,0.0007624,0.0007624
62,608.586,1.81638,2.11813,1.79597,0.17945,0.20936,0.0977,0.02677,2.58472,2.49208,2.24462,0.00075844,0.00075844,0.00075844
63,617.824,1.8252,2.07367,1.80263,0.21332,0.25123,0.14018,0.03935,2.43055,2.42127,2.09449,0.00075448,0.00075448,0.00075448
64,627.557,1.8256,2.07791,1.80043,0.17771,0.21675,0.12188,0.03251,2.51952,2.55122,2.1959,0.00075052,0.00075052,0.00075052
