epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.67654,2.67609,3.83669,2.34079,0.00536,0.45567,0.00508,0.00173,2.88953,3.70921,2.51936,0.0675238,0.000328042,0.000328042
2,13.476,2.3896,3.2166,2.1246,0.02979,0.09606,0.01496,0.00458,2.65827,3.14083,2.40559,0.0345238,0.000661369,0.000661369
3,18.7461,2.28054,2.97931,2.12302,0.14825,0.08621,0.0512,0.01436,2.54528,3.14131,2.30279,0.00152377,0.00099467,0.00099467
4,24.4906,2.23698,2.87685,2.08471,0.1128,0.1601,0.06401,0.01851,2.47778,3.0151,2.23721,0.000999912,0.000999912,0.000999912
5,29.7085,2.2146,2.78199,2.03767,0.16489,0.18719,0.09125,0.02733,2.48361,2.97213,2.21224,0.000999844,0.000999844,0.000999844
6,35.915,2.22828,2.7072,2.07991,0.1409,0.17855,0.09365,0.03016,2.3151,3.21588,2.04808,0.000999756,0.000999756,0.000999756
7,41.0452,2.11368,2.67557,1.95,0.10521,0.27833,0.07147,0.02391,2.27531,2.78597,2.00468,0.000999648,0.000999648,0.000999648
8,46.5081,2.1143,2.60399,1.93264,0.21285,0.20443,0.12729,0.03989,2.38308,2.62741,2.04039,0.000999521,0.000999521,0.000999521
9,51.7281,2.05619,2.54859,1.88015,0.1548,0.25369,0.11867,0.03964,2.26971,2.52383,1.92851,0.000999375,0.000999375,0.000999375
10,57.3043,2.05836,2.53955,1.91389,0.21387,0.19704,0.11789,0.03564,2.30002,2.61731,2.03153,0.000999209,0.000999209,0.000999209
11,62.7713,2.02878,2.54163,1.90363,0.21066,0.2235,0.13636,0.0421,2.28204,2.61141,2.03546,0.000999023,0.000999023,0.000999023
12,67.9202,2.03864,2.47231,1.86678,0.24685,0.22765,0.141,0.04338,2.2973,2.51627,1.98758,0.000998818,0.000998818,0.000998818
13,73.9577,2.02903,2.44992,1.90117,0.10293,0.1601,0.06331,0.02092,2.23824,2.8437,1.9462,0.000998594,0.000998594,0.000998594
14,79.0592,2.0184,2.46337,1.88519,0.23317,0.23399,0.15015,0.04995,2.28637,2.48691,1.97609,0.00099835,0.00099835,0.00099835
15,84.32,1.98955,2.39515,1.85759,0.24807,0.21429,0.16241,0.05103,2.32963,2.42741,2.04797,0.000998086,0.000998086,0.000998086
16,89.436,1.96827,2.35777,1.83427,0.19401,0.22906,0.12458,0.04006,2.20964,2.48742,1.90961,0.000997803,0.000997803,0.000997803
17,94.6618,1.95922,2.35416,1.82399,0.27688,0.20936,0.16975,0.059,2.21077,2.35986,1.93227,0.000997501,0.000997501,0.000997501
18,99.8952,1.94887,2.33874,1.8172,0.23821,0.24384,0.16624,0.06097,2.14544,2.34143,1.88056,0.000997179,0.000997179,0.000997179
19,105.413,1.92567,2.30996,1.77406,0.24361,0.28079,0.17138,0.05813,2.24861,2.30279,1.92308,0.000996838,0.000996838,0.000996838
20,110.852,1.95024,2.28095,1.79012,0.20425,0.26616,0.12776,0.039,2.32476,2.53589,1.97136,0.000996477,0.000996477,0.000996477
21,116.159,1.93809,2.29098,1.79139,0.2454,0.31881,0.1817,0.05816,2.20589,2.36252,1.90645,0.000996097,0.000996097,0.000996097
22,122.095,1.89922,2.3096,1.7874,0.27851,0.25123,0.1841,0.05989,2.26902,2.37666,1.97195,0.000995697,0.000995697,0.000995697
23,127.22,1.92986,2.27287,1.80578,0.25961,0.30049,0.20018,0.06997,2.1953,2.30341,1.92248,0.000995278,0.000995278,0.000995278
24,132.52,1.88868,2.24074,1.7634,0.22964,0.26108,0.16527,0.05102,2.25543,2.35546,1.96729,0.00099484,0.00099484,0.00099484
25,137.612,1.89209,2.24052,1.75996,0.26369,0.26108,0.18855,0.06474,2.26413,2.35081,1.945,0.000994383,0.000994383,0.000994383
26,143.639,1.88866,2.23339,1.74668,0.29644,0.25123,0.21312,0.07276,2.23024,2.23259,1.93551,0.000993906,0.000993906,0.000993906
27,148.926,1.90859,2.21901,1.78294,0.20808,0.27586,0.16467,0.05522,2.20209,2.28853,1.91009,0.00099341,0.00099341,0.00099341
28,154.434,1.89237,2.23095,1.76666,0.28166,0.31098,0.21563,0.07275,2.15858,2.21789,1.89152,0.000992894,0.000992894,0.000992894
29,159.326,1.87151,2.21511,1.75223,0.20168,0.29064,0.15883,0.05176,2.18011,2.41684,1.90399,0.000992359,0.000992359,0.000992359
30,164.527,1.86929,2.17769,1.73968,0.19258,0.27586,0.13282,0.04043,2.25158,2.42279,1.95264,0.000991805,0.000991805,0.000991805
31,169.572,1.85422,2.16349,1.73375,0.25202,0.21921,0.15721,0.05108,2.19985,2.33962,1.93282,0.000991232,0.000991232,0.000991232
32,174.864,1.85109,2.16069,1.73495,0.26935,0.26108,0.19193,0.06461,2.21214,2.30989,1.92419,0.00099064,0.00099064,0.00099064
33,181.592,1.84437,2.11822,1.71466,0.27975,0.31281,0.20335,0.06501,2.23284,2.25482,1.8997,0.000990028,0.000990028,0.000990028
34,187.098,1.85821,2.12283,1.7517,0.26197,0.33223,0.2121,0.06821,2.16638,2.31732,1.9262,0.000989398,0.000989398,0.000989398
35,194.573,1.8564,2.09382,1.73002,0.27718,0.2931,0.19993,0.06514,2.16066,2.25385,1.89074,0.000988748,0.000988748,0.000988748
36,199.547,1.84914,2.10827,1.73773,0.27831,0.30542,0.22833,0.07327,2.15887,2.23438,1.87058,0.000988079,0.000988079,0.000988079
37,204.433,1.82244,2.0981,1.72242,0.31501,0.28204,0.25504,0.08991,2.13633,2.20317,1.85984,0.000987391,0.000987391,0.000987391
38,209.315,1.84223,2.09307,1.73792,0.27404,0.30296,0.23828,0.08496,2.20235,2.20908,1.90545,0.000986684,0.000986684,0.000986684
39,215.483,1.81862,2.0807,1.70972,0.28687,0.30049,0.22143,0.07839,2.15124,2.2832,1.85631,0.000985958,0.000985958,0.000985958
40,221.789,1.79596,2.04863,1.69293,0.25505,0.32266,0.19847,0.06929,2.17401,2.31433,1.93185,0.000985213,0.000985213,0.000985213
41,227.728,1.83544,2.05759,1.73129,0.28488,0.30319,0.21418,0.06724,2.26067,2.31182,1.94551,0.000984449,0.000984449,0.000984449
42,233.589,1.8024,2.05183,1.69208,0.30047,0.292,0.21006,0.06805,2.20231,2.32925,1.9047,0.000983666,0.000983666,0.000983666
43,238.524,1.8169,2.01118,1.70933,0.25013,0.31281,0.22122,0.0673,2.324,2.25175,2.01109,0.000982864,0.000982864,0.000982864
44,243.885,1.83127,1.99384,1.70546,0.3028,0.36156,0.26401,0.0863,2.19678,2.16513,1.90408,0.000982043,0.000982043,0.000982043
45,249.017,1.79094,2.00002,1.68066,0.30402,0.30663,0.23225,0.08372,2.16974,2.21085,1.88428,0.000981204,0.000981204,0.000981204
46,254.658,1.80216,2.03275,1.67941,0.30612,0.29803,0.25072,0.08142,2.17895,2.24997,1.8938,0.000980345,0.000980345,0.000980345
47,259.919,1.7879,1.93473,1.68256,0.27878,0.35468,0.21572,0.07133,2.20354,2.18999,1.92192,0.000979468,0.000979468,0.000979468
48,265.283,1.77174,1.9621,1.67388,0.23689,0.29803,0.21608,0.06944,2.30982,2.30204,1.9739,0.000978572,0.000978572,0.000978572
49,270.451,1.78528,1.96922,1.68901,0.29911,0.34729,0.25298,0.08023,2.24187,2.13753,1.95514,0.000977658,0.000977658,0.000977658
50,275.857,1.75443,1.93124,1.66661,0.32058,0.31034,0.24421,0.07903,2.22479,2.20516,1.94916,0.000976725,0.000976725,0.000976725
51,280.757,1.75109,1.92474,1.65181,0.28718,0.30542,0.22746,0.07641,2.21697,2.20516,1.93042,0.000975773,0.000975773,0.000975773
52,285.993,1.75671,1.90633,1.65185,0.2716,0.31034,0.19818,0.06048,2.27694,2.33161,2.00102,0.000974803,0.000974803,0.000974803
53,291.493,1.73359,1.90836,1.64614,0.30183,0.31034,0.22726,0.07498,2.23669,2.30564,1.95431,0.000973814,0.000973814,0.000973814
54,296.514,1.76021,1.88842,1.67342,0.28028,0.33005,0.22782,0.07026,2.36942,2.23408,2.05863,0.000972806,0.000972806,0.000972806
55,302.275,1.7835,1.89016,1.6866,0.30074,0.32759,0.23314,0.07833,2.20415,2.24051,1.90309,0.00097178,0.00097178,0.00097178
56,307.37,1.7316,1.87055,1.64953,0.28095,0.32759,0.22097,0.07011,2.22796,2.24144,1.99338,0.000970736,0.000970736,0.000970736
57,313.08,1.74813,1.85451,1.64933,0.31068,0.30788,0.2446,0.08878,2.12804,2.20567,1.88003,0.000969673,0.000969673,0.000969673
58,318.182,1.73985,1.83342,1.65406,0.29753,0.28079,0.21265,0.06716,2.27302,2.27009,1.96892,0.000968592,0.000968592,0.000968592
59,323.595,1.71851,1.83306,1.62839,0.31552,0.34629,0.24834,0.07877,2.18296,2.14259,1.91541,0.000967493,0.000967493,0.000967493
60,328.801,1.73827,1.82813,1.64294,0.30918,0.32512,0.21051,0.06846,2.24196,2.25913,1.94723,0.000966375,0.000966375,0.000966375
61,333.987,1.71134,1.80357,1.62232,0.32161,0.30126,0.25186,0.0861,2.14405,2.16772,1.86505,0.000965239,0.000965239,0.000965239
62,339.32,1.7133,1.83002,1.61761,0.27137,0.30788,0.17043,0.05332,2.3541,2.45058,2.08982,0.000964085,0.000964085,0.000964085
63,344.414,1.74378,1.81208,1.63905,0.26292,0.30788,0.22457,0.06829,2.29231,2.25826,2.03373,0.000962913,0.000962913,0.000962913
64,350.186,1.7288,1.79408,1.63467,0.33507,0.33744,0.26317,0.07986,2.2374,2.21646,1.9373,0.000961723,0.000961723,0.000961723
65,355.156,1.72397,1.78954,1.62278,0.27689,0.33005,0.24495,0.07605,2.23121,2.21793,1.94184,0.000960515,0.000960515,0.000960515
66,360.901,1.6972,1.74061,1.61279,0.30997,0.3202,0.24499,0.0804,2.22886,2.26928,1.94767,0.000959289,0.000959289,0.000959289
67,366.279,1.68512,1.71569,1.60467,0.30364,0.31527,0.21921,0.07235,2.19717,2.27405,1.88426,0.000958044,0.000958044,0.000958044
68,371.629,1.68845,1.7025,1.6072,0.33924,0.31527,0.27191,0.0868,2.23656,2.24373,1.91313,0.000956782,0.000956782,0.000956782
69,376.891,1.67159,1.654,1.59137,0.2721,0.32266,0.20902,0.06328,2.42239,2.38944,2.11948,0.000955502,0.000955502,0.000955502
70,382.57,1.64382,1.68542,1.56874,0.28179,0.30788,0.22033,0.06998,2.30152,2.34182,2.02272,0.000954205,0.000954205,0.000954205
71,387.992,1.67877,1.65913,1.5904,0.29148,0.35222,0.24534,0.07632,2.33045,2.21666,2.00908,0.000952889,0.000952889,0.000952889
