epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4876,1.7353,3.34209,2.31678,0.03707,0.03751,0.01177,0.00341,1.94965,3.52134,2.53406,0.0675893,0.000327381,0.000327381
2,29.9078,1.48902,2.74535,2.03315,0.0414,0.1107,0.02479,0.0072,1.6617,17.4936,2.30778,0.0345827,0.000654173,0.000654173
3,45.1686,1.42012,2.57963,1.97446,0.04484,0.09149,0.01803,0.005,1.81733,8.46023,2.51764,0.0015696,0.000974365,0.000974365
4,60.1375,1.42431,2.5308,1.95812,0.06123,0.1226,0.03176,0.00871,1.69104,9.17379,2.34103,0.0009703,0.0009703,0.0009703
5,74.505,1.38936,2.44033,1.9303,0.07325,0.05215,0.02285,0.00667,1.66935,4.56533,2.16155,0.0009604,0.0009604,0.0009604
6,89.4562,1.33208,2.40322,1.85571,0.11456,0.22598,0.08527,0.02658,1.57873,2.76124,2.04043,0.0009505,0.0009505,0.0009505
7,104.696,1.31767,2.35375,1.83837,0.14162,0.22141,0.09609,0.02939,1.56566,2.40303,2.00474,0.0009406,0.0009406,0.0009406
8,119.217,1.32252,2.3138,1.85652,0.15721,0.20586,0.10007,0.02987,1.58323,2.46531,2.04319,0.0009307,0.0009307,0.0009307
9,134.281,1.29946,2.26865,1.83236,0.19936,0.26532,0.14545,0.04328,1.50748,2.35986,1.94349,0.0009208,0.0009208,0.0009208
10,149.255,1.28887,2.20482,1.81519,0.21526,0.25976,0.15737,0.04255,1.51637,2.56347,1.95973,0.0009109,0.0009109,0.0009109
11,163.58,1.26907,2.20609,1.80162,0.25782,0.29277,0.20208,0.05856,1.49201,2.18085,1.91781,0.000901,0.000901,0.000901
12,179.107,1.24723,2.18303,1.77518,0.18336,0.29003,0.12913,0.03967,1.54541,2.50482,1.99284,0.0008911,0.0008911,0.0008911
13,194.347,1.23297,2.16281,1.76672,0.24753,0.29735,0.18472,0.05126,1.56768,2.21839,2.02938,0.0008812,0.0008812,0.0008812
14,208.653,1.23318,2.09638,1.76695,0.27111,0.3107,0.20011,0.06201,1.49837,2.17442,1.90426,0.0008713,0.0008713,0.0008713
15,224.085,1.22497,2.1023,1.75987,0.24115,0.32205,0.18041,0.05029,1.55554,2.31078,2.0313,0.0008614,0.0008614,0.0008614
16,239.158,1.19063,2.08584,1.71337,0.23149,0.31382,0.1731,0.05423,1.4754,2.32147,1.92264,0.0008515,0.0008515,0.0008515
17,253.474,1.16542,2.01985,1.67547,0.28066,0.35407,0.23652,0.07086,1.49022,2.17752,1.94687,0.0008416,0.0008416,0.0008416
18,268.572,1.17903,2.00546,1.7077,0.28986,0.29277,0.19247,0.06664,1.45893,2.12941,1.87126,0.0008317,0.0008317,0.0008317
19,283.83,1.16982,1.96,1.69247,0.27673,0.31839,0.20427,0.05674,1.51641,2.17375,1.93318,0.0008218,0.0008218,0.0008218
20,298.747,1.16339,1.92753,1.68584,0.23576,0.25994,0.15894,0.04706,1.58436,2.24877,2.07931,0.0008119,0.0008119,0.0008119
21,313.064,1.15494,1.91071,1.68345,0.29932,0.30284,0.21019,0.06601,1.52434,2.12435,1.97324,0.000802,0.000802,0.000802
22,327.865,1.13787,1.90175,1.65234,0.30568,0.30924,0.23079,0.06971,1.51273,2.14063,1.97419,0.0007921,0.0007921,0.0007921
23,343.027,1.14805,1.81837,1.67206,0.31459,0.31016,0.23369,0.07012,1.51231,2.09059,1.97913,0.0007822,0.0007822,0.0007822
24,357.126,1.13281,1.83622,1.66351,0.18794,0.25252,0.13299,0.03891,1.55128,2.74529,2.03042,0.0007723,0.0007723,0.0007723
25,372.157,1.11517,1.76314,1.64942,0.35943,0.29643,0.24678,0.06958,1.57102,2.13685,2.06531,0.0007624,0.0007624,0.0007624
26,387.519,1.11062,1.75674,1.62818,0.26241,0.32113,0.18741,0.05746,1.55217,2.13912,1.99116,0.0007525,0.0007525,0.0007525
27,401.686,1.09823,1.7583,1.61027,0.33309,0.32124,0.23932,0.0704,1.54222,2.09765,2.01481,0.0007426,0.0007426,0.0007426
28,416.974,1.09189,1.6738,1.60827,0.34258,0.33394,0.24305,0.07281,1.50515,2.0725,1.97178,0.0007327,0.0007327,0.0007327
29,432.338,1.11537,1.71612,1.65352,0.28314,0.29003,0.21239,0.05748,1.61183,2.15577,2.08713,0.0007228,0.0007228,0.0007228
30,446.498,1.09112,1.65607,1.60408,0.31026,0.32471,0.23928,0.06661,1.60796,2.07925,2.06209,0.0007129,0.0007129,0.0007129
31,461.525,1.05748,1.63569,1.57921,0.30648,0.35944,0.24667,0.07502,1.54669,2.06906,2.04289,0.000703,0.000703,0.000703
32,476.616,1.04837,1.56164,1.56692,0.29137,0.31747,0.22151,0.06723,1.61386,2.14385,2.13787,0.0006931,0.0006931,0.0006931
33,491.184,1.04643,1.54145,1.56841,0.32856,0.32205,0.23399,0.06422,1.65577,2.05487,2.20597,0.0006832,0.0006832,0.0006832
34,505.878,1.04621,1.51935,1.56498,0.2268,0.28088,0.14316,0.0408,1.65465,2.40269,2.1577,0.0006733,0.0006733,0.0006733
35,520.614,1.01084,1.49858,1.52559,0.31973,0.34487,0.26393,0.07669,1.56815,2.11932,2.07965,0.0006634,0.0006634,0.0006634
