epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0692,2.68089,3.3991,2.3294,0.03532,0.07502,0.00729,0.00187,3.40172,4.25421,2.91556,0.0675893,0.000327381,0.000327381
2,23.0348,2.42157,2.83361,2.07972,0.05274,0.11528,0.02599,0.0085,2.73624,7.79166,2.16332,0.0345827,0.000654173,0.000654173
3,33.0551,2.29841,2.66748,1.98168,0.01071,0.16011,0.00754,0.0024,2.82146,27.7172,2.73888,0.0015696,0.000974365,0.000974365
4,43.186,2.28964,2.5933,1.98402,0.02563,0.05672,0.0112,0.00302,2.94443,8.5571,2.4599,0.0009703,0.0009703,0.0009703
5,53.2547,2.24309,2.54976,1.95123,0.10472,0.09149,0.03299,0.00893,2.71975,5.48732,2.23625,0.0009604,0.0009604,0.0009604
6,63.6636,2.14113,2.477,1.86296,0.09152,0.21134,0.05736,0.01834,2.61726,3.36788,2.09528,0.0009505,0.0009505,0.0009505
7,73.5833,2.16727,2.42383,1.88103,0.0921,0.25719,0.0537,0.0146,2.64484,3.84426,2.13244,0.0009406,0.0009406,0.0009406
8,83.2892,2.12904,2.39908,1.86775,0.13689,0.24886,0.08949,0.02553,2.53903,2.57993,2.01544,0.0009307,0.0009307,0.0009307
9,93.1153,2.114,2.35664,1.8366,0.17133,0.23239,0.11127,0.03264,2.45083,2.41149,1.9446,0.0009208,0.0009208,0.0009208
10,103.077,2.0997,2.33293,1.84002,0.24429,0.24062,0.16775,0.04861,2.4441,2.29294,1.92452,0.0009109,0.0009109,0.0009109
11,113.242,2.05336,2.30353,1.80487,0.21191,0.22324,0.1526,0.0493,2.38275,2.60401,1.90021,0.000901,0.000901,0.000901
12,123.132,2.045,2.25216,1.80455,0.19982,0.28911,0.1596,0.04564,2.39636,2.39852,1.88878,0.0008911,0.0008911,0.0008911
13,133.051,2.04367,2.26981,1.79333,0.19431,0.25343,0.13149,0.03368,2.49058,2.46062,1.9657,0.0008812,0.0008812,0.0008812
14,143.394,2.0032,2.22251,1.76514,0.20544,0.28179,0.15471,0.04577,2.40173,2.35645,1.88662,0.0008713,0.0008713,0.0008713
15,153.554,2.00827,2.20052,1.7801,0.18511,0.29117,0.15237,0.04929,2.36032,2.26091,1.84777,0.0008614,0.0008614,0.0008614
16,163.52,1.95016,2.20018,1.71175,0.20576,0.27722,0.14158,0.04353,2.35991,2.36782,1.87662,0.0008515,0.0008515,0.0008515
17,173.738,1.93837,2.16026,1.6959,0.24832,0.28911,0.16099,0.04792,2.4168,2.26447,1.91554,0.0008416,0.0008416,0.0008416
18,184.014,1.95068,2.14782,1.7303,0.27037,0.2902,0.1959,0.06513,2.38936,2.20127,1.84644,0.0008317,0.0008317,0.0008317
19,193.948,1.96675,2.10992,1.7372,0.22587,0.31747,0.17079,0.0489,2.42614,2.21434,1.90801,0.0008218,0.0008218,0.0008218
20,203.758,1.94351,2.08118,1.72356,0.3014,0.2763,0.20317,0.06019,2.48281,2.16824,1.9511,0.0008119,0.0008119,0.0008119
21,213.426,1.92803,2.06886,1.70804,0.23789,0.32845,0.17136,0.05032,2.43356,2.21935,1.911,0.000802,0.000802,0.000802
22,223.508,1.91039,2.053,1.69831,0.22947,0.30375,0.17327,0.04938,2.40097,2.2911,1.90057,0.0007921,0.0007921,0.0007921
23,233.738,1.91781,2.00909,1.70144,0.31047,0.29918,0.22844,0.06979,2.45539,2.11991,1.94095,0.0007822,0.0007822,0.0007822
24,243.747,1.879,2.00513,1.68303,0.30369,0.31382,0.22296,0.06686,2.43831,2.15662,1.926,0.0007723,0.0007723,0.0007723
25,254.052,1.86506,1.97521,1.67199,0.27953,0.30467,0.19851,0.05894,2.41517,2.15907,1.91047,0.0007624,0.0007624,0.0007624
26,264.161,1.84811,1.97136,1.64965,0.24641,0.29186,0.17622,0.05596,2.48181,2.20837,1.98139,0.0007525,0.0007525,0.0007525
27,274.058,1.84962,1.96723,1.6431,0.2774,0.31839,0.20734,0.05757,2.48018,2.18187,1.97574,0.0007426,0.0007426,0.0007426
28,284.141,1.83982,1.90459,1.64091,0.30153,0.35783,0.24504,0.06895,2.43792,2.10466,1.92594,0.0007327,0.0007327,0.0007327
29,295.092,1.87159,1.94417,1.67119,0.30346,0.29369,0.21618,0.06353,2.48133,2.10059,1.96693,0.0007228,0.0007228,0.0007228
30,305.123,1.83239,1.88973,1.63923,0.3107,0.30741,0.22582,0.06706,2.447,2.15033,1.95334,0.0007129,0.0007129,0.0007129
31,315.39,1.7965,1.86048,1.62114,0.30277,0.31944,0.20254,0.05751,2.43895,2.19068,1.95117,0.000703,0.000703,0.000703
